clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Bend_pickup_lowLight,31,,Standing,,0.996,0.0,848.8682
Bend_pickup_lowLight,32,,Standing,,0.996,0.0,119.4365
Bend_pickup_lowLight,33,,Standing,,0.997,0.0,111.0384
Bend_pickup_lowLight,34,,Standing,,0.997,0.0,119.851
Bend_pickup_lowLight,35,,Standing,,0.997,0.0,121.3875
Bend_pickup_lowLight,36,,Standing,,0.996,0.0,99.5875
Bend_pickup_lowLight,37,,Standing,,0.996,0.0,114.2786
Bend_pickup_lowLight,38,,Standing,,0.997,0.0,97.4003
Bend_pickup_lowLight,39,,Standing,,0.996,0.0,91.5529
Bend_pickup_lowLight,40,,Standing,,0.997,0.0,112.1802
Bend_pickup_lowLight,41,,Standing,,0.997,0.0,99.2139
Bend_pickup_lowLight,42,,Standing,,0.996,0.0,155.3956
Bend_pickup_lowLight,43,,Standing,,0.996,0.0,127.4509
Bend_pickup_lowLight,44,,Standing,,0.997,0.0,127.0433
Bend_pickup_lowLight,45,,Standing,,0.996,0.0,125.3156
Bend_pickup_lowLight,46,,Standing,,0.995,0.0,125.459
Bend_pickup_lowLight,47,,Standing,,0.879,0.0,128.9221
Bend_pickup_lowLight,48,,Lying,,0.6,0.0,119.5823
Bend_pickup_lowLight,49,,Lying,,0.786,0.0,137.0147
Bend_pickup_lowLight,50,,Lying,,0.845,0.0,132.8759
Bend_pickup_lowLight,51,,Lying,,0.938,0.0,135.6351
Bend_pickup_lowLight,52,,Lying,,0.971,0.0,143.1677
Bend_pickup_lowLight,53,,Lying,,0.986,0.0,144.0324
Bend_pickup_lowLight,54,,Lying,,0.993,0.0,150.8384
Bend_pickup_lowLight,55,,Lying,,0.997,0.0,133.9153
Bend_pickup_lowLight,56,,Lying,,0.998,0.0,150.5915
Bend_pickup_lowLight,57,,Lying,,0.999,0.0,162.2178
Bend_pickup_lowLight,58,,Lying,,0.999,0.0,124.8658
Bend_pickup_lowLight,59,,Lying,,0.999,0.0,117.8288
Bend_pickup_lowLight,60,,Lying,,1.0,0.0,120.6095
