clip_name,frame_number,gt_label,pred_label,correct,latency_ms
Backward_fall,31,Standing,Standing,True,297.8185
Backward_fall,32,Standing,Standing,True,53.3658
Backward_fall,33,Standing,Standing,True,50.8199
Backward_fall,34,Standing,Standing,True,52.5609
Backward_fall,35,Standing,Unknown,False,54.1947
Backward_fall,36,,Unknown,,52.5834
Backward_fall,37,,Unknown,,52.0558
Backward_fall,38,,Unknown,,52.9426
Backward_fall,39,,Unknown,,54.3454
Backward_fall,40,,Standing,,61.568
Backward_fall,41,,Standing,,73.4544
Backward_fall,42,,Standing,,79.5211
Backward_fall,43,,Standing,,68.7504
Backward_fall,44,,Standing,,63.0958
Backward_fall,45,,Standing,,59.4948
Backward_fall,46,,Standing,,61.3887
Backward_fall,47,,Standing,,57.5556
Backward_fall,48,,Standing,,59.9172
Backward_fall,49,,Standing,,55.4036
Backward_fall,50,,Standing,,60.6935
Backward_fall,51,,Lying,,57.0678
Backward_fall,52,,Standing,,55.9322
Backward_fall,53,,Standing,,54.7806
Backward_fall,54,,Standing,,55.0756
Backward_fall,55,,Standing,,55.9173
Backward_fall,56,,Standing,,54.34
Backward_fall,57,,Standing,,55.1121
Backward_fall,58,,Standing,,55.0379
Backward_fall,59,,Standing,,57.7747
Backward_fall,60,,Sitting,,54.9659
Backward_fall,61,,Sitting,,54.554
Backward_fall,62,,Sitting,,55.5439
Backward_fall,63,,Sitting,,55.3504
Backward_fall,64,,Sitting,,54.7171
Backward_fall,65,,Sitting,,54.2277
Backward_fall,66,,Sitting,,55.0493
Backward_fall,67,,Sitting,,55.4172
Backward_fall,68,,Sitting,,55.0745
Backward_fall,69,Lying,Sitting,False,56.3092
Backward_fall,70,Lying,Sitting,False,54.9598
Backward_fall,71,Lying,Sitting,False,56.4708
Backward_fall,72,Lying,Sitting,False,54.8902
Backward_fall,73,Lying,Sitting,False,55.0094
Backward_fall,74,Lying,Sitting,False,55.0223
Backward_fall,75,Lying,Sitting,False,54.9916
Backward_fall,76,Lying,Sitting,False,55.2547
Backward_fall,77,Lying,Sitting,False,53.3509
Backward_fall,78,Lying,Sitting,False,54.5407
Backward_fall,79,Lying,Sitting,False,55.3959
Backward_fall,80,Lying,Sitting,False,55.0551
Backward_fall,81,Lying,Sitting,False,54.7749
Backward_fall,82,Lying,Sitting,False,55.0302
Backward_fall,83,Lying,Sitting,False,54.6698
Backward_fall,84,Lying,Sitting,False,54.9173
Backward_fall,85,Lying,Sitting,False,53.9564
Backward_fall,86,Lying,Sitting,False,53.7125
Backward_fall,87,Lying,Sitting,False,54.5041
Backward_fall,88,Lying,Sitting,False,54.8735
Backward_fall,89,Lying,Sitting,False,52.1314
Backward_fall,90,Lying,Sitting,False,51.7064
Backward_fall,91,Lying,Sitting,False,53.6526
Backward_fall,92,Lying,Sitting,False,52.2798
Backward_fall,93,Lying,Sitting,False,52.3514
Backward_fall,94,Lying,Sitting,False,51.7524
Backward_fall,95,Lying,Sitting,False,53.558
Backward_fall,96,Lying,Sitting,False,52.1895
Backward_fall,97,Lying,Sitting,False,53.5913
Backward_fall,98,Lying,Sitting,False,54.4522
Backward_fall,99,Lying,Sitting,False,54.4128
Backward_fall,100,Lying,Unknown,False,53.3046
