clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Standing,True,0.628,0.0,84.6894
Backward_fall,32,Standing,Standing,True,0.642,0.0,81.1888
Backward_fall,33,Standing,Standing,True,0.637,0.0,82.193
Backward_fall,34,Standing,Standing,True,0.639,0.0,104.7831
Backward_fall,35,Standing,Standing,True,0.608,0.0,113.1753
Backward_fall,36,,Standing,,0.604,0.0,86.9774
Backward_fall,37,,Standing,,0.582,0.0,85.171
Backward_fall,38,,Standing,,0.585,0.0,81.79
Backward_fall,39,,Standing,,0.578,0.0,66.179
Backward_fall,40,,Standing,,0.577,0.0,66.1837
Backward_fall,41,,Standing,,0.546,0.0,63.8068
Backward_fall,42,,Standing,,0.534,0.0,65.5755
Backward_fall,43,,Standing,,0.523,0.0,53.3954
Backward_fall,44,,Standing,,0.53,0.0,74.0441
Backward_fall,45,,Standing,,0.541,0.0,81.1425
Backward_fall,46,,Standing,,0.505,0.0,77.4074
Backward_fall,47,,Standing,,0.537,0.0,69.5207
Backward_fall,48,,Standing,,0.528,0.0,67.9744
Backward_fall,49,,Standing,,0.535,0.0,67.0813
Backward_fall,50,,Standing,,0.484,0.0,64.9967
Backward_fall,51,,Standing,,0.476,0.0,55.9297
Backward_fall,52,,Standing,,0.491,0.0,70.7761
Backward_fall,53,,Standing,,0.459,0.0,66.071
Backward_fall,54,,Standing,,0.445,0.0,64.2563
Backward_fall,55,,Standing,,0.455,0.0,55.4034
Backward_fall,56,,Standing,,0.467,0.0,52.2997
Backward_fall,57,,Standing,,0.5,0.0,67.3155
Backward_fall,58,,Standing,,0.466,0.0,52.0136
Backward_fall,59,,Standing,,0.461,0.0,67.063
Backward_fall,60,,Standing,,0.455,0.0,54.5026
Backward_fall,61,,Standing,,0.434,0.0,63.8769
Backward_fall,62,,Standing,,0.432,0.0,54.6665
Backward_fall,63,,Standing,,0.451,0.0,65.3408
Backward_fall,64,,Standing,,0.454,0.0,76.924
Backward_fall,65,,Standing,,0.471,0.0,67.2186
Backward_fall,66,,Standing,,0.522,0.0,84.8717
Backward_fall,67,,Standing,,0.552,0.0,117.262
Backward_fall,68,,Standing,,0.531,0.0,83.1588
Backward_fall,69,Lying,Standing,False,0.562,0.0,64.1683
Backward_fall,70,Lying,Standing,False,0.507,0.0,68.5402
Backward_fall,71,Lying,Standing,False,0.479,0.0,70.3488
Backward_fall,72,Lying,Standing,False,0.393,0.0,74.5623
Backward_fall,73,Lying,Standing,False,0.369,0.0,65.2885
Backward_fall,74,Lying,Standing,False,0.35,0.0,65.216
Backward_fall,75,Lying,Standing,False,0.38,0.0,67.9381
Backward_fall,76,Lying,Standing,False,0.316,0.0,67.17
Backward_fall,77,Lying,Sitting,False,0.306,0.0,65.2091
Backward_fall,78,Lying,Standing,False,0.338,0.0,75.1229
Backward_fall,79,Lying,Standing,False,0.351,0.0,66.8836
Backward_fall,80,Lying,Standing,False,0.362,0.0,68.0435
Backward_fall,81,Lying,Standing,False,0.423,0.0,64.4655
Backward_fall,82,Lying,Standing,False,0.401,0.0,71.1732
Backward_fall,83,Lying,Standing,False,0.396,0.0,70.5378
Backward_fall,84,Lying,Standing,False,0.389,0.0,67.5425
Backward_fall,85,Lying,Standing,False,0.439,0.0,67.2448
Backward_fall,86,Lying,Standing,False,0.432,0.0,69.792
Backward_fall,87,Lying,Standing,False,0.439,0.0,80.4555
Backward_fall,88,Lying,Standing,False,0.408,0.0,78.4718
Backward_fall,89,Lying,Standing,False,0.432,0.0,80.8182
Backward_fall,90,Lying,Standing,False,0.45,0.0,62.251
Backward_fall,91,Lying,Standing,False,0.426,0.0,67.7651
Backward_fall,92,Lying,Standing,False,0.409,0.0,66.1109
Backward_fall,93,Lying,Standing,False,0.407,0.0,68.0882
Backward_fall,94,Lying,Standing,False,0.403,0.0,65.332
Backward_fall,95,Lying,Standing,False,0.346,0.0,67.0239
Backward_fall,96,Lying,Standing,False,0.371,0.0,64.0398
Backward_fall,97,Lying,Standing,False,0.351,0.0,91.2039
Backward_fall,98,Lying,Standing,False,0.358,0.0,88.7176
Backward_fall,99,Lying,Standing,False,0.359,0.0,90.3868
