clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Unknown,False,0.663,0.0,816.7084
Backward_fall,32,Standing,Unknown,False,0.661,0.0,137.0496
Backward_fall,33,Standing,Unknown,False,0.656,0.0,118.4081
Backward_fall,34,Standing,Unknown,False,0.654,0.0,109.8768
Backward_fall,35,Standing,Unknown,False,0.651,0.0,111.4805
Backward_fall,36,,Unknown,,0.641,0.0,115.413
Backward_fall,37,,Unknown,,0.636,0.0,111.4598
Backward_fall,38,,Unknown,,0.63,0.0,122.6456
Backward_fall,39,,Unknown,,0.623,0.0,113.9335
Backward_fall,40,,Unknown,,0.622,0.0,128.2159
Backward_fall,41,,Unknown,,0.625,0.0,112.3289
Backward_fall,42,,Unknown,,0.629,0.0,109.897
Backward_fall,43,,Unknown,,0.636,0.0,125.1562
Backward_fall,44,,Unknown,,0.64,0.0,97.5278
Backward_fall,45,,Unknown,,0.647,0.0,114.4696
Backward_fall,46,,Unknown,,0.651,0.0,110.0582
Backward_fall,47,,Unknown,,0.653,0.0,93.3833
Backward_fall,48,,Unknown,,0.652,0.0,120.1722
Backward_fall,49,,Unknown,,0.653,0.0,113.7921
Backward_fall,50,,Unknown,,0.65,0.0,100.6839
Backward_fall,51,,Unknown,,0.643,0.0,97.3514
Backward_fall,52,,Unknown,,0.631,0.0,112.003
Backward_fall,53,,Unknown,,0.627,0.0,93.4142
Backward_fall,54,,Unknown,,0.627,0.0,89.777
Backward_fall,55,,Unknown,,0.628,0.0,86.6111
Backward_fall,56,,Unknown,,0.621,0.0,81.687
Backward_fall,57,,Unknown,,0.61,0.0,96.5592
Backward_fall,58,,Unknown,,0.595,0.0,96.206
Backward_fall,59,,Unknown,,0.57,0.0,88.8599
Backward_fall,60,,Unknown,,0.545,0.0,86.9557
Backward_fall,61,,Unknown,,0.507,0.0,78.6587
Backward_fall,62,,Unknown,,0.46,0.0,86.803
Backward_fall,63,,Unknown,,0.409,0.0,84.1699
Backward_fall,64,,Sitting,,0.379,0.0,86.2296
Backward_fall,65,,Sitting,,0.448,0.0,95.2862
Backward_fall,66,,Sitting,,0.519,0.0,88.6528
Backward_fall,67,,Sitting,,0.576,0.0,80.5032
Backward_fall,68,,Sitting,,0.63,0.0,89.6262
Backward_fall,69,Lying,Sitting,False,0.668,0.0,87.8
Backward_fall,70,Lying,Sitting,False,0.704,0.0,94.8574
Backward_fall,71,Lying,Sitting,False,0.734,0.0,83.3591
Backward_fall,72,Lying,Sitting,False,0.752,0.0,82.6224
Backward_fall,73,Lying,Sitting,False,0.759,0.0,96.5291
Backward_fall,74,Lying,Sitting,False,0.77,0.0,85.256
Backward_fall,75,Lying,Sitting,False,0.769,0.0,88.5219
Backward_fall,76,Lying,Sitting,False,0.763,0.0,87.5499
Backward_fall,77,Lying,Sitting,False,0.757,0.0,75.2181
Backward_fall,78,Lying,Sitting,False,0.745,0.0,93.117
Backward_fall,79,Lying,Sitting,False,0.705,0.0,88.9415
Backward_fall,80,Lying,Sitting,False,0.655,0.0,95.3793
Backward_fall,81,Lying,Sitting,False,0.609,0.0,88.1028
Backward_fall,82,Lying,Sitting,False,0.559,0.0,84.2105
